Nb d'essai ;Nb Objet Total ;Nb Poids Total ;Poids Max du sac ;Nb Sac Total par Algo ;Nb Sac Possible ;Performance en %
10;10;245;47;7;5;73.60%
50;10;391;59;7;6;76.46%
100;10;398;82;6;4;75.72%
10;50;1246;44;33;28;85.65%
50;50;1468;57;28;25;86.86%
100;50;1700;65;31;26;88.37%
10;100;702;12;63;58;90.63%
50;100;397;7;59;56;92.14%
100;100;4086;87;52;46;90.99%
10;500;14732;58;265;254;95.22%
50;500;26308;100;285;263;94.70%
100;500;1252;4;317;313;94.69%
10;1000;23581;46;544;512;95.30%
50;1000;44498;89;523;499;95.79%
100;1000;29111;57;538;510;95.97%
10;5000;101907;40;2619;2547;97.52%
50;5000;29970;11;2763;2724;97.70%
100;5000;138180;54;2630;2558;97.62%
10;10000;387132;77;5137;5027;97.84%
50;10000;201843;39;5264;5175;98.13%
Performance de l'algorithme FirstFit pour le problème du Bit Packing;;;;;;91.05%
